aid,author,era,nid,rank,rank_date,tags,title,vip_date,word_count,xx,yc
4490937,达不溜歪,近代现代,6743218,1,2023-02-27,"豪门世家,虐恋情深,破镜重圆,爱情战争",真假少爷火葬场,2023-02-24,10.4万,纯爱,原创
2793914,三城旧伴,近代现代,7791954,2,2023-02-27,"综漫,爽文,文野,咒回",当乱步在咒术片场,2023-02-24,9.83万,纯爱,衍生
2849178,漂亮闪光,架空历史,7159135,3,2023-02-27,"宫廷侯爵,破镜重圆,天作之合,重生",窥燕（双重生）,2023-02-24,8.7万,言情,原创
2492513,玉屑金泥,近代现代,7169631,4,2023-02-27,"情有独钟,娱乐圈,甜文,穿书",无cp文女主O怀了赘A的崽,2023-02-24,9.02万,百合,原创
685910,申屠此非,幻想未来,7237499,5,2023-02-27,"穿越时空,无限流,快穿,升级流",总被召唤的我在高危世界成为大佬,2023-02-24,8.45万,纯爱,原创
3363442,汽水鲨鱼,近代现代,7103939,6,2023-02-27,"都市情缘,情有独钟,近水楼台",藏不住就不藏了,2023-02-24,9.53万,百合,原创
3366615,榆鱼,近代现代,7560202,1,2023-02-22,"灵异神怪,恐怖,无限流,玄学",解梦［无限］,2023-02-19,9.26万,纯爱,原创
3044844,日日复日日,架空历史,6218983,2,2023-02-22,"仙侠修真,系统,甜文,穿书",当反派绑定了女主系统,2023-02-19,9.65万,言情,原创
2855001,风听澜,近代现代,7435760,3,2023-02-22,"恐怖,天作之合,乡村爱情,种田文",灵异文关底Boss竟是我老婆,2023-02-19,8.94万,百合,原创
2148441,罗子逢,近代现代,5890609,4,2023-02-22,"种田文,穿书,爽文,年代文",七零炮灰亲妈苏醒后,2023-02-19,8.09万,言情,原创
2169444,王浩然,架空历史,3681976,5,2023-02-22,"武侠,穿越时空,系统,马甲文",[综武侠]圣火令,2023-02-19,9.91万,纯爱,衍生
4091985,麦田雪人,近代现代,6915603,6,2023-02-22,"豪门世家,情有独钟,古穿今,姐弟恋",我养大了真千金和真少爷,2023-02-19,9.15万,言情,原创
2371041,水仙乘鲤,近代现代,5145048,7,2023-02-22,"娱乐圈,打脸,甜文,穿书",钓系咸鱼穿成综艺万人嫌摆烂后,2023-02-19,9.15万,纯爱,原创
2276992,盐焗大龙虾,架空历史,6770076,8,2023-02-22,"穿越时空,仙侠修真,爽文,升级流",效率修仙第一人,2023-02-19,10.84万,言情,原创
3429765,扶以东桑,近代现代,7577161,1,2023-02-23,"甜文,穿书,爽文",和顶流亲弟在综艺爆红,2023-02-20,7.48万,言情,原创
1544336,南陶,架空历史,7413978,2,2023-02-23,"仙侠修真,打脸,爽文",沙雕师姐每天都在换人设,2023-02-20,9.17万,言情,原创
